t,Antenna ID,Event Code,Device ID,x,y, Tile ID
0,10,0,253,600714.924071,649097.225440,145
0,23,0,245,600110.959703,651829.085065,895
0,5,0,280,599917.314726,648764.937245,56
0,23,0,246,600110.959703,651829.085065,895
0,39,0,276,601136.553094,649742.965420,338
0,63,0,299,600431.357885,648956.498195,115
0,156,0,283,602103.592967,649742.183146,348
0,101,0,273,600216.462154,649458.409534,248
0,79,0,292,600509.614350,651407.658028,791
0,77,0,270,600008.765087,650833.277593,624
0,227,0,297,600995.281445,652785.571876,1147
0,161,0,259,600203.078702,651730.080000,869
0,194,0,289,600384.426337,650135.919067,439
0,227,0,296,600995.281445,652785.571876,1147
0,159,0,230,601129.055069,653193.950076,1256
0,142,0,268,600564.455101,652729.315347,1142
0,156,0,284,602103.592967,649742.183146,348
0,133,0,241,601462.694847,648964.107958,125
0,180,0,257,600901.554282,651774.870814,876
0,79,0,291,600509.614350,651407.658028,791
0,131,0,234,601514.911596,650068.348954,423
0,133,0,242,601462.694847,648964.107958,125
1,64,0,242,600736.867391,649689.335190,307
1,79,2,291,600364.633387,651523.163791,816
1,188,0,253,600598.953909,649243.843553,198
1,194,2,289,600384.426337,650135.919067,439
1,131,2,234,601514.911596,650068.348954,423
1,66,0,299,600319.176858,649061.334547,141
1,212,0,273,599767.764248,650111.852675,432
1,133,1,241,600736.867391,649689.335190,307
1,227,1,296,600855.708095,652890.405888,1172
1,180,1,257,600780.251541,651912.216713,929
1,31,0,296,600855.708095,652890.405888,1172
1,63,1,299,600319.176858,649061.334547,141
1,23,2,245,599987.832676,651933.067514,921
1,64,0,241,600736.867391,649689.335190,307
1,77,2,270,600008.765087,650833.277593,624
1,156,1,283,601958.740413,649895.012895,373
1,9,0,276,601026.924381,649883.108971,364
1,5,2,280,599771.940531,648894.482459,81
1,227,1,297,600855.708095,652890.405888,1172
1,23,0,259,600078.941324,651854.245087,895
1,23,2,246,599987.832676,651933.067514,921
1,39,1,276,601026.924381,649883.108971,364
1,31,0,297,600855.708095,652890.405888,1172
1,57,0,284,601958.740413,649895.012895,373
1,79,2,292,600364.633387,651523.163791,816
1,133,1,242,600736.867391,649689.335190,307
1,10,1,253,600598.953909,649243.843553,198
1,89,0,257,600780.251541,651912.216713,929
1,159,2,230,601129.055069,653193.950076,1256
1,161,1,259,600078.941324,651854.245087,895
1,142,2,268,600564.455101,652729.315347,1142
1,101,1,273,599767.764248,650111.852675,432
1,57,0,283,601958.740413,649895.012895,373
1,156,1,284,601958.740413,649895.012895,373
2,99,0,299,600200.989607,649159.349940,167
2,9,2,276,601026.924381,649883.108971,364
2,161,0,292,600240.900504,651661.190001,842
2,23,2,259,600078.941324,651854.245087,895
2,64,1,242,600008.586770,650412.098893,516
2,159,0,297,600752.336562,653031.065819,1225
2,159,2,230,601129.055069,653193.950076,1256
2,142,1,268,600249.086878,651734.235542,869
2,161,0,268,600249.086878,651734.235542,869
2,31,1,296,600752.336562,653031.065819,1225
2,161,0,291,600240.900504,651661.190001,842
2,131,2,234,601514.911596,650068.348954,423
2,23,2,245,599987.832676,651933.067514,921
2,57,1,284,601786.220382,650015.744138,426
2,188,1,253,600464.137508,649373.344469,223
2,159,0,296,600752.336562,653031.065819,1225
2,23,2,246,599987.832676,651933.067514,921
2,79,1,291,600240.900504,651661.190001,842
2,31,1,297,600752.336562,653031.065819,1225
2,190,0,241,600008.586770,650412.098893,516
2,176,0,257,600658.073690,652048.784732,954
2,32,0,270,600843.233523,651348.733208,767
2,5,2,280,599771.940531,648894.482459,81
2,79,1,292,600240.900504,651661.190001,842
2,66,1,299,600200.989607,649159.349940,167
2,212,2,273,599767.764248,650111.852675,432
2,77,1,270,600843.233523,651348.733208,767
2,89,1,257,600658.073690,652048.784732,954
2,194,2,289,600384.426337,650135.919067,439
2,57,1,283,601786.220382,650015.744138,426
2,64,1,241,600008.586770,650412.098893,516
2,170,0,283,601786.220382,650015.744138,426
2,170,0,284,601786.220382,650015.744138,426
2,190,0,242,600008.586770,650412.098893,516
2,99,0,253,600464.137508,649373.344469,223
3,194,2,289,600384.426337,650135.919067,439
3,61,0,270,600657.792821,650385.590535,495
3,35,0,297,600632.185614,653157.693777,1251
3,23,2,246,599987.832676,651933.067514,921
3,161,1,268,601071.987545,651091.993044,688
3,101,0,299,600098.666177,649273.827706,193
3,190,2,241,600008.586770,650412.098893,516
3,32,1,270,600657.792821,650385.590535,495
3,23,2,259,600078.941324,651854.245087,895
