t,AntennaId,EventCode,PhoneId,x,y,TileId
0,227,0,296,600995.281445,652785.571876,1147
0,227,0,297,600995.281445,652785.571876,1147
0,194,0,289,600384.426337,650135.919067,439
0,180,0,257,600901.5542819999,651774.870814,876
0,161,0,259,600203.0787020001,651730.08,869
0,159,0,230,601129.055069,653193.9500760001,1256
0,156,0,283,602103.592967,649742.183146,348
0,156,0,284,602103.592967,649742.183146,348
0,142,0,268,600564.455101,652729.315347,1142
0,133,0,241,601462.6948470001,648964.107958,125
0,133,0,242,601462.6948470001,648964.107958,125
0,131,0,234,601514.911596,650068.348954,423
0,101,0,273,600216.462154,649458.409534,248
0,79,0,291,600509.61435,651407.6580279999,791
0,79,0,292,600509.61435,651407.6580279999,791
0,77,0,270,600008.765087,650833.277593,624
0,63,0,299,600431.3578850001,648956.498195,115
0,39,0,276,601136.553094,649742.96542,338
0,23,0,245,600110.959703,651829.085065,895
0,23,0,246,600110.959703,651829.085065,895
0,10,0,253,600714.924071,649097.22544,145
0,5,0,280,599917.3147260001,648764.937245,56
1,227,1,297,600855.708095,652890.405888,1172
1,227,1,296,600855.708095,652890.405888,1172
1,212,0,273,599767.764248,650111.852675,432
1,194,2,289,600384.426337,650135.919067,439
1,188,0,253,600598.953909,649243.843553,198
1,180,1,257,600780.251541,651912.216713,929
1,161,1,259,600078.941324,651854.245087,895
1,159,2,230,601129.055069,653193.9500760001,1256
1,156,1,284,601958.740413,649895.0128949999,373
1,156,1,283,601958.740413,649895.0128949999,373
1,142,2,268,600564.455101,652729.315347,1142
1,133,1,242,600736.867391,649689.33519,307
1,133,1,241,600736.867391,649689.33519,307
1,131,2,234,601514.911596,650068.348954,423
1,101,1,273,599767.764248,650111.852675,432
1,89,0,257,600780.251541,651912.216713,929
1,79,2,292,600364.633387,651523.163791,816
1,79,2,291,600364.633387,651523.163791,816
1,77,2,270,600008.765087,650833.277593,624
1,66,0,299,600319.176858,649061.334547,141
1,64,0,242,600736.867391,649689.33519,307
1,64,0,241,600736.867391,649689.33519,307
1,63,1,299,600319.176858,649061.334547,141
1,57,0,284,601958.740413,649895.0128949999,373
1,57,0,283,601958.740413,649895.0128949999,373
1,39,1,276,601026.924381,649883.108971,364
1,31,0,297,600855.708095,652890.405888,1172
1,31,0,296,600855.708095,652890.405888,1172
1,23,0,259,600078.941324,651854.245087,895
1,23,2,246,599987.8326760001,651933.067514,921
1,23,2,245,599987.8326760001,651933.067514,921
1,10,1,253,600598.953909,649243.843553,198
1,9,0,276,601026.924381,649883.108971,364
1,5,2,280,599771.940531,648894.482459,81
2,212,2,273,599767.764248,650111.852675,432
2,194,2,289,600384.426337,650135.919067,439
2,190,0,242,600008.5867699999,650412.098893,516
2,190,0,241,600008.5867699999,650412.098893,516
2,188,1,253,600464.137508,649373.344469,223
2,176,0,257,600658.07369,652048.784732,954
2,170,0,284,601786.220382,650015.7441380001,426
2,170,0,283,601786.220382,650015.7441380001,426
2,161,0,292,600240.900504,651661.1900010001,842
2,161,0,291,600240.900504,651661.1900010001,842
2,161,0,268,600249.086878,651734.235542,869
2,159,0,297,600752.336562,653031.065819,1225
2,159,0,296,600752.336562,653031.065819,1225
2,159,2,230,601129.055069,653193.9500760001,1256
2,142,1,268,600249.086878,651734.235542,869
2,131,2,234,601514.911596,650068.348954,423
2,99,0,299,600200.989607,649159.34994,167
2,99,0,253,600464.137508,649373.344469,223
