t,AntennaId,EventCode,PhoneId,x,y,TileId
0,130,0,941,602198.593940,649656.166225,322
0,130,0,1344,602066.590907,649577.633812,293
0,130,0,1370,602036.281199,649524.657449,293
1,130,1,1370,601443.956932,650202.609324,476
1,130,1,1344,601288.414773,650287.825077,475
1,130,2,941,602198.593940,649656.166225,322
1,130,0,722,602022.442261,649574.248920,293
2,130,2,941,602198.593940,649656.166225,322
2,130,2,722,602022.442261,649574.248920,293
3,130,2,941,602198.593940,649656.166225,322
3,130,2,722,602022.442261,649574.248920,293
4,130,2,941,602198.593940,649656.166225,322
4,130,2,722,602022.442261,649574.248920,293
5,130,2,941,602198.593940,649656.166225,322
5,130,2,722,602022.442261,649574.248920,293
5,130,0,345,601912.493443,649734.628860,346
6,130,2,941,602198.593940,649656.166225,322
6,130,2,722,602022.442261,649574.248920,293
6,130,1,345,601331.881291,650534.117479,556
7,130,2,941,602198.593940,649656.166225,322
7,130,2,722,602022.442261,649574.248920,293
8,130,2,941,602198.593940,649656.166225,322
8,130,2,722,602022.442261,649574.248920,293
9,130,2,941,602198.593940,649656.166225,322
9,130,2,722,602022.442261,649574.248920,293
10,130,0,1202,601889.906120,649856.681508,373
10,130,0,1162,602110.213000,649768.980427,348
10,130,2,941,602198.593940,649656.166225,322
10,130,2,722,602022.442261,649574.248920,293
11,130,2,1202,601889.906120,649856.681508,373
11,130,2,1162,602110.213000,649768.980427,348
11,130,2,941,602198.593940,649656.166225,322
11,130,2,722,602022.442261,649574.248920,293
12,130,1,1202,601188.645333,650437.173386,528
12,130,2,1162,602110.213000,649768.980427,348
12,130,2,941,602198.593940,649656.166225,322
12,130,2,722,602022.442261,649574.248920,293
13,130,2,1162,602110.213000,649768.980427,348
13,130,1,941,601593.329833,650403.614720,532
13,130,2,722,602022.442261,649574.248920,293
14,130,2,1162,602110.213000,649768.980427,348
14,130,2,722,602022.442261,649574.248920,293
15,130,2,1162,602110.213000,649768.980427,348
15,130,2,722,602022.442261,649574.248920,293
16,130,2,1162,602110.213000,649768.980427,348
16,130,2,722,602022.442261,649574.248920,293
17,130,1,1162,601499.172786,650578.568459,558
17,130,1,722,601766.048239,649866.975408,371
18,130,0,447,601892.665066,649835.541931,373
19,130,0,616,602045.225221,649624.946399,320
19,130,0,615,602045.225221,649624.946399,320
19,130,2,447,602147.797581,649578.711038,294
20,130,0,1212,602103.730022,649666.168825,321
20,130,0,1211,602103.730022,649666.168825,321
20,130,1,616,602138.660711,649237.334639,213
20,130,1,615,602138.660711,649237.334639,213
20,130,2,447,602147.797581,649578.711038,294
21,130,2,1212,602103.730022,649666.168825,321
21,130,2,1211,602103.730022,649666.168825,321
21,130,1,447,601865.282633,649805.073605,372
22,130,1,1212,601468.020527,650505.214765,557
22,130,1,1211,601468.020527,650505.214765,557
22,130,0,1043,602135.341304,649581.774527,294
22,130,0,644,601963.759638,649455.585271,265
23,130,2,1043,602135.341304,649581.774527,294
23,130,2,644,601963.759638,649455.585271,265
24,130,1,1043,601173.516880,650183.560803,446
24,130,1,644,601676.506527,649736.108707,343
26,130,0,512,602008.752539,649696.572256,320
27,130,0,908,602193.234179,649632.403070,322
27,130,1,512,601932.863621,650042.399890,427
28,130,2,908,602193.234179,649632.403070,322
29,130,1,908,601882.936093,649968.876139,400
31,130,0,890,601906.639306,649801.374069,346
31,130,0,889,601906.639306,649801.374069,346
32,130,1,890,601970.268602,650189.309667,454
32,130,1,889,601970.268602,650189.309667,454
32,130,0,533,602014.853998,649653.163883,320
33,130,0,1047,601999.611540,649797.226663,347
33,130,2,533,602014.853998,649653.163883,320
34,130,2,1047,601962.132026,649431.461645,265
34,130,1,533,601359.340599,650317.673968,502
34,130,0,527,602012.973972,649496.412750,266
35,130,0,1494,602046.274681,649788.391465,347
35,130,2,1047,601962.132026,649431.461645,265
35,130,2,527,602012.973972,649496.412750,266
36,130,1,1494,602217.199560,649392.979305,241
36,130,1,1047,601687.343620,649675.756742,317
36,130,0,531,601955.502720,649669.852113,319
36,130,2,527,602012.973972,649496.412750,266
37,130,2,531,601955.502720,649669.852113,319
37,130,2,527,602012.973972,649496.412750,266
38,130,0,1494,601944.164631,649726.172969,346
38,130,0,1312,601993.578378,649698.198568,320
38,130,0,1311,601993.578378,649698.198568,320
38,130,0,688,601942.515607,649533.164901,292
38,130,2,531,601955.502720,649669.852113,319
38,130,2,527,602012.973972,649496.412750,266
39,130,1,1494,601629.616835,650020.495536,424
39,130,2,1312,601993.578378,649698.198568,320
39,130,2,1311,601993.578378,649698.198568,320
39,130,1,688,601655.250714,649739.446191,343
39,130,2,531,601955.502720,649669.852113,319
39,130,2,527,602012.973972,649496.412750,266
40,130,0,1466,602080.878822,649700.957106,321
40,130,0,1465,602080.878822,649700.957106,321
40,130,1,1312,601444.177714,650430.127918,530
40,130,1,1311,601444.177714,650430.127918,530
40,130,2,531,601955.502720,649669.852113,319
40,130,2,527,602012.973972,649496.412750,266
41,130,2,1466,602080.878822,649700.957106,321
41,130,2,1465,602080.878822,649700.957106,321
41,130,2,531,601955.502720,649669.852113,319
41,130,2,527,602012.973972,649496.412750,266
42,130,2,1466,602080.878822,649700.957106,321
42,130,2,1465,602080.878822,649700.957106,321
42,130,2,531,601955.502720,649669.852113,319
42,130,2,527,602012.973972,649496.412750,266
43,130,0,1607,601886.196813,649777.322892,346
43,130,0,1527,601918.974261,649811.267829,373
43,130,0,1526,601918.974261,649811.267829,373
43,130,2,1466,602080.878822,649700.957106,321
43,130,2,1465,602080.878822,649700.957106,321
43,130,1,531,601593.394389,649962.730846,397
43,130,1,527,601714.037503,649727.006901,344
44,130,2,1607,601886.196813,649777.322892,346
44,130,2,1527,601918.974261,649811.267829,373
44,130,2,1526,601918.974261,649811.267829,373
44,130,2,1466,602080.878822,649700.957106,321
44,130,2,1465,602080.878822,649700.957106,321
45,130,2,1607,601886.196813,649777.322892,346
45,130,1,1527,601246.550715,650274.791119,474
45,130,1,1526,601246.550715,650274.791119,474
45,130,2,1466,602080.878822,649700.957106,321
45,130,2,1465,602080.878822,649700.957106,321
46,130,2,1607,601886.196813,649777.322892,346
46,130,2,1466,602080.878822,649700.957106,321
46,130,2,1465,602080.878822,649700.957106,321
46,130,0,567,601970.402637,649539.509885,292
47,130,2,1607,601886.196813,649777.322892,346
47,130,2,1466,602080.878822,649700.957106,321
47,130,2,1465,602080.878822,649700.957106,321
47,130,1,567,601741.703413,649803.427854,371
47,130,0,408,601911.955377,649594.842373,292
48,130,1,1607,601169.368064,650559.150330,554
48,130,1,1466,601518.751520,650564.732855,558
48,130,1,1465,601518.751520,650564.732855,558
48,130,0,968,601961.672827,649570.523238,292
48,130,0,967,601961.672827,649570.523238,292
48,130,1,408,601427.004265,650366.464464,503
49,130,2,968,601961.672827,649570.523238,292
49,130,2,967,601961.672827,649570.523238,292
49,130,0,237,602079.561379,649662.614910,321
50,130,0,1037,601885.413123,649855.801465,373
50,130,1,968,601359.336038,650068.877915,421
50,130,1,967,601359.336038,650068.877915,421
50,130,0,680,601926.752966,649834.023560,373
50,130,2,237,602079.561379,649662.614910,321
51,130,1,1037,601146.955691,650763.379165,608
51,130,1,680,602164.954633,649436.729150,267
51,130,1,237,601437.921245,650282.375409,476
54,130,0,937,601985.373284,649532.450432,293
54,130,0,670,602158.311054,649567.905563,294
55,130,1,937,601689.585793,649855.158271,371
55,130,2,670,602158.311054,649567.905563,294
56,130,0,752,602062.982459,649534.320797,293
56,130,1,670,601551.133428,650230.258357,477
57,130,0,1291,601976.498656,649596.848979,292
57,130,0,810,602056.151722,649681.089182,320
57,130,2,752,602062.982459,649534.320797,293
58,130,2,1291,601976.498656,649596.848979,292
58,130,2,810,602056.151722,649681.089182,320
58,130,2,752,602062.982459,649534.320797,293
59,130,2,1291,601976.498656,649596.848979,292
59,130,1,810,601303.873176,650356.212981,502
59,130,2,752,602062.982459,649534.320797,293
59,130,0,693,602196.120580,649574.232114,295
59,130,0,197,601905.271542,649631.537606,319
60,130,2,1291,601976.498656,649596.848979,292
60,130,0,908,601945.933104,649827.144115,373
60,130,2,752,602062.982459,649534.320797,293
60,130,2,693,602196.120580,649574.232114,295
