t;Person ID;x;y
0;300;600619.720297;648855.895507
0;298;600431.357885;648956.498195
0;295;600995.281445;652785.571876
0;294;600144.698023;651260.892388
0;293;599946.186746;650383.760602
0;290;600509.614350;651407.658028
0;288;600384.426337;650135.919067
0;287;600534.452067;652318.585027
0;286;599834.879343;649446.266897
0;285;599840.872041;649051.369553
0;282;602103.592967;649742.183146
0;281;601111.360616;650890.741187
0;279;599917.314726;648764.937245
0;278;600884.307709;653481.263707
0;277;600113.926266;651306.169307
0;275;601136.553094;649742.965420
0;274;600609.883491;651302.516852
0;272;600216.462154;649458.409534
0;271;600300.974162;653293.978776
0;269;600008.765087;650833.277593
0;267;600564.455101;652729.315347
0;266;599995.533285;649789.257105
0;265;600972.708092;652690.563873
0;264;601095.766019;651503.210319
0;263;600438.542616;648905.010133
0;262;600368.069027;650413.730360
0;261;601791.230451;651107.411356
0;260;600656.242508;649459.352680
0;258;600203.078702;651730.080000
0;256;600901.554282;651774.870814
0;255;601027.839567;652554.729750
0;254;600977.981785;648905.535809
0;252;600714.924071;649097.225440
0;251;599772.198240;649864.249419
0;250;600294.947433;650121.963221
0;249;600118.041593;651933.525784
0;248;600263.976780;650584.038938
0;247;601342.743010;650037.770401
0;244;600110.959703;651829.085065
0;243;600502.744926;652563.861453
0;240;601462.694847;648964.107958
0;239;599837.074800;650682.845902
0;238;600283.514429;648629.371179
0;237;601308.475114;650437.954601
0;236;599991.829590;651605.594520
0;235;600522.560903;649416.832546
0;233;601514.911596;650068.348954
0;232;599960.914550;649489.863505
0;231;601987.409040;649724.380298
0;229;601129.055069;653193.950076
1;300;599896.737463;649423.601401
1;298;600319.176858;649061.334547
1;295;600855.708095;652890.405888
1;294;600144.698023;651260.892388
1;293;599798.918845;650536.809790
1;290;600364.633387;651523.163791
1;288;600384.426337;650135.919067
1;287;600534.452067;652318.585027
1;286;599742.704377;649581.365390
1;285;599840.872041;649051.369553
1;282;601958.740413;649895.012895
1;281;600511.894956;651665.505144
1;279;599771.940531;648894.482459
1;278;600884.307709;653481.263707
1;277;600113.926266;651306.169307
1;275;601026.924381;649883.108971
1;274;600043.607742;652006.183093
1;272;599767.764248;650111.852675
1;271;600300.974162;653293.978776
1;269;600008.765087;650833.277593
1;267;600564.455101;652729.315347
1;266;599995.533285;649789.257105
1;265;600854.956152;652874.260060
1;264;600524.662379;652395.045922
1;263;599771.224912;649558.639780
1;262;600213.445234;650543.825107
1;261;601125.665005;651945.414866
1;260;600518.261239;649563.815948
1;258;600078.941324;651854.245087
1;256;600780.251541;651912.216713
1;255;601027.839567;652554.729750
1;254;600856.681611;649051.970104
1;252;600598.953909;649243.843553
1;251;599772.198240;649864.249419
1;250;600294.947433;650121.963221
1;249;600118.041593;651933.525784
1;248;600128.090403;650733.950984
1;247;600480.735969;650744.728896
1;244;599987.832676;651933.067514
1;243;600350.714820;652702.881506
1;240;600736.867391;649689.335190
1;239;599837.074800;650682.845902
1;238;600283.514429;648629.371179
1;237;600447.223996;651149.277552
1;236;599991.829590;651605.594520
1;235;599856.316193;649903.836766
1;233;601514.911596;650068.348954
1;232;599960.914550;649489.863505
1;231;601872.855110;649862.773109
1;229;601129.055069;653193.950076
2;300;599896.737463;649423.601401
2;298;600200.989607;649159.349940
2;295;600752.336562;653031.065819
2;294;601238.729632;651370.889057
2;293;599798.918845;650536.809790
2;290;600240.900504;651661.190001
2;288;600384.426337;650135.919067
2;287;600534.452067;652318.585027
2;286;599742.704377;649581.365390
2;285;599829.404915;648829.601333
2;282;601786.220382;650015.744138
2;281;600511.894956;651665.505144
2;279;599771.940531;648894.482459
2;278;601223.974746;652379.058548
2;277;600693.487212;650367.972153
2;275;601026.924381;649883.108971
